query_length,tfidf_srcc,jaccard_srcc,ratcliff_srcc
33,0.7865148626867856,0.7645754034661096,0.9448174502147446
2,nan,0.6470677066590182,0.9447759733812152
19,0.7431490742332265,0.6747553604289027,0.44262106677574986
48,0.15660209776786232,0.7645754034661096,0.4125038246613568
19,0.09500566416443582,0.3701634212396113,0.15029922707342816
34,0.5582037583475348,0.3127556071349127,0.0638524194570239
9,0.784419186800316,0.6999233615973774,0.35573636611773685
38,0.07334086574364809,0.33878443746261144,0.6495672222012883
72,0.016394084731294372,0.06770800324389113,0.8650468790077722
26,0.3088619794900541,0.07218723053142066,0.1685770430646261
35,0.02699432216450656,0.14467195235939728,0.487684327726293
38,0.8998365956859304,0.03513168523566042,0.12468812756013875
41,0.6911525963694354,0.1434397944831508,0.8403389659546905
40,0.41992697220250474,0.03647421889609527,0.10384052952246073
50,0.024024689465215552,0.3502856438043207,0.11963250632903898
61,0.3835325530925867,0.487684327726293,0.3291382464700846
32,0.365890009944308,0.02566371563209713,0.065548285182185
49,0.4125038246613568,0.5499288640014355,0.15029922707342816
39,0.4561477962712701,0.08695594245899081,0.5781074593622941
23,0.10576917408088037,0.9022558825000807,0.04074226764690636
46,0.28851258969719185,0.6402017518255436,0.9799209119891911
3,nan,0.6781282577997529,0.5519122238772017
22,0.22974103217104477,0.021837955607621563,0.08307130670785144
41,0.07928551351938394,0.6655103431927203,0.8749652018566716
54,0.25946936992853786,0.9748930643675195,0.681832438507082
57,0.38406506847839617,0.1367575937278009,0.03358407951093336
45,0.733607630478017,0.38157756369604023,0.4778286757964305
32,0.060376047595293955,0.17499413541563488,0.6404548402871415
23,0.2420362343964556,0.05808080610563148,0.04588325880000641
56,0.3068610916782761,0.9849400483404018,0.44262106677574986
9,0.294321812102793,0.3456543929220033,0.5352473458918693
55,0.6633257542362446,0.9874451117594092,0.4015036070038971
17,0.7404245909800902,0.752365192805136,0.1715949890648653
21,0.36257388702455096,0.05740481768119558,0.6450049409876997
22,0.012159772777125166,0.05625931883167502,0.01883234307376657
32,0.21600839451984055,0.24970376548248047,0.8998365956859304
14,0.07159416840365282,0.08317117531948898,0.757528699864343
42,0.13707258150434384,0.06281260675312436,0.0035758529444134455
44,0.04108930182647607,0.4754998440468864,0.36257388702455096
52,0.2538915426582106,0.6045088306268851,0.8452698052894374
7,0.45138483567918053,0.32895339438834936,0.21449998226074232
21,0.45009791291219303,0.7787535800539374,0.1481952056912907
41,0.6045088306268851,0.6186953791712528,0.0909728657975423
48,0.3006681944004437,0.41992697220250474,0.39787297935196153
19,0.06069838924327417,0.5273727208262768,0.6244962106706925
13,0.019584150973973733,0.11218136664207469,0.06770800324389113
49,0.0515453085823628,4.4683581867264954e-05,0.027658227513046127
11,0.5936469089009745,0.3482175469489137,0.042718510627876995
49,0.3942605047612736,0.6770737039981949,0.4387948865691028
17,0.79109995828098,0.6914362018682975,0.12640665077932206
73,0.054584099673222065,0.10687070696592833,0.8749652018566716
18,0.802642895289257,0.802642895289257,0.36067248687000397
46,0.08018447399215549,0.10000302030315011,0.2622871228754285
41,0.36257388702455096,0.7816639121085741,0.5185244542213634
55,0.004622614670722059,0.002416579396833125,0.15824386826406367
46,0.0207797266670458,0.008145722946612062,0.0072900732244842075
55,0.5956535128148985,0.2590975158489966,0.17936353052759138
62,0.04236705009037417,0.2708557980141591,0.40881908952023194
13,0.45009791291219303,0.7333171726024528,0.6178918280262935
53,0.42742125802266384,0.061276922524174667,0.020346128286980632
44,0.10234904601068498,0.2943645636096202,0.586852724489982
34,0.01715902465564582,0.17792705956688806,0.8650468790077722
56,0.6911525963694354,0.6402017518255436,0.34228635081121406
48,0.14452609966359914,0.7719854265259412,0.20471829742862183
19,0.02821080561889401,0.007813528280749086,0.1352523431335165
2,nan,0.6470677066590182,0.9447759733812152
23,0.35398333761993617,0.19696571424739387,0.5100956041628331
36,0.5831377109252506,0.8959341837698398,0.9348031235214638
69,0.3729699095048,0.5649480756832093,0.6541415450094847
19,0.0547478144331005,0.4659400851924169,0.24566887828037737
51,0.352345677311515,0.286640053421719,0.43119491043425096
40,0.11122564042878388,0.8108800461568323,0.9297994024457079
67,0.4939125443630319,0.0638524194570239,0.4698861728108753
34,0.004250208663395345,0.23234786067734586,0.5061465835201627
10,0.0003348708684590199,0.01612559691843781,0.6541415450094847
6,0.2420362343964556,0.2971373329028416,0.4029646339628127
53,0.2795976355152773,0.8973066103461609,0.6045088306268851
17,0.1003656219472864,0.8328914963163665,0.0016983661049514531
2,nan,0.6470677066590182,0.9447759733812152
58,0.166474348578758,0.04870263511475688,0.20957138880302534
25,0.7527267095067718,0.8699066491639261,0.4778286757964305
45,0.5394664944297437,0.3068610916782761,0.3835325530925867
52,0.7052130308607131,0.0833291692331555,0.8452698052894374
14,0.5479501508336087,0.6568800748678989,0.6359170579042353
43,0.005465932150303228,0.6267484770786789,0.9297994024457079
45,0.5912462398946646,0.889875964885619,0.08695594245899081
13,0.9336582752769402,0.9422913998800766,0.776738799330136
22,0.02699432216450656,0.7215321705666362,0.5394664944297437
33,0.5437007991990148,0.5329877413797932,0.265124109510353
65,0.22715328510473623,0.3591457825704002,0.9398091995407436
49,0.4858377042773383,0.8118602325195134,0.3131305637442674
34,0.032950383214957614,0.25434993981778775,0.0034066083987759135
33,0.1003656219472864,0.8526215721252116,0.04837283310926692
52,0.0001235583588743802,0.14263670537136702,0.06240648623134545
49,0.6178918280262935,0.07218723053142066,0.32267802500462284
22,0.5936469089009745,0.11731513622923,0.40515233009814566
44,0.3456206337468547,0.488204507611143,0.9148041683144317
41,0.13891001088101337,0.2477486172943874,0.8650468790077722
48,0.4464646102705483,0.335300940963825,0.36257388702455096
30,0.8650468790077722,0.5627914871035049,0.39787297935196153
16,0.6359170579042353,0.9297994024457079,0.30375506301143457
34,0.5582037583475348,0.3127556071349127,0.0638524194570239
12,0.6134176645307821,0.8059928433862233,0.8452698052894374
8,0.1003656219472864,0.9347541480371615,0.09359155154078891
8,nan,0.019385493570930876,0.2538915426582106
65,0.8600949015145793,0.6769584405538203,0.24839056913669727
15,0.802642895289257,0.802642895289257,0.14452609966359914
49,0.14263670537136702,0.5955140480137089,0.7768207117441497
44,0.47384906489411216,0.7454474593240564,0.6000744184144979
30,0.4998958124724252,0.34043987257480246,0.07809346645156448
58,0.05357514003175054,0.9372823403483928,0.8452698052894374
3,nan,0.6781282577997529,0.5519122238772017
57,0.2795976355152773,0.3869077934644005,0.36067248687000397
79,0.6134176645307821,0.20471829742862183,0.4898669433807742
7,0.9348031235214638,0.17669418610253487,0.008922760369500673
28,0.010841753245056875,0.1464329432946607,0.1685770430646261
6,0.30419311984013275,0.30419311984013275,0.23234786067734586
17,0.8514353969058122,0.7670326844634734,0.27666444989581596
34,0.10087319118710468,0.12184064515988179,0.2622871228754285
37,0.7457925149794716,0.4197488341000021,0.04670190938806289
52,0.7605823045741997,0.21950431346270238,0.8157739948259723
61,0.3323968570405118,0.6911525963694354,0.30375506301143457
8,0.8948543863933638,0.025727713450982785,0.0072900732244842075
54,0.13707258150434384,0.1752766047706817,0.6313917305184382
16,0.1003656219472864,0.7910959107758623,0.3068610916782761
18,0.05937977468606565,0.01133310846701557,0.05646561004225937
56,0.0756893721143978,0.5039350586640279,0.5912462398946646
46,0.8689605453485727,0.12524092136407836,0.2855217106335982
35,0.00024175382207783266,0.8990785971378543,0.20713542085215372
35,1.0,0.9096762686813691,0.7719854265259412
27,0.04556533450134413,0.6769584405538203,0.3162939707830972
31,0.020472443283179962,0.01423025967218401,0.1084095615537755
34,0.26499614112407577,0.4080992405908188,0.4620108862392819
57,0.530007190904243,0.2792234336174148,0.13891001088101337
21,0.04523184484682827,0.059657758078904354,0.022066409903028866
55,0.7431490742332265,0.665391447500742,0.14076469716030804
15,0.35398333761993617,0.35398333761993617,0.14835729861849292
44,0.07159416840365282,0.9297994024457079,0.6633257542362446
27,0.05624360333671631,0.3348704237841028,0.1464329432946607
32,0.3006555310050662,0.8011125555760907,0.4125038246613568
9,0.7404245909800902,0.42671229460485216,0.17716966765175673
25,0.45009791291219303,0.45009791291219303,0.22974103217104477
55,0.5226070933683966,0.6131486555654011,0.9448174502147446
71,0.4387948865691028,0.7815033799936889,0.8948543863933638
56,0.7241036435108112,0.757528699864343,0.14263670537136702
40,0.1003656219472864,0.0759219539484396,0.2825500572639195
23,0.1003656219472864,0.7568028739690728,0.3006681944004437
39,0.006922690881578285,0.06662156350962728,0.041200717801954466
48,0.04616794464098514,0.011642373367085757,0.7816639121085741
62,0.2825500572639195,0.7623392575365604,0.7962393511384775
9,0.802642895289257,0.802642895289257,0.43119491043425096
36,0.19060938739632305,0.487684327726293,0.733607630478017
